slot,name            ,stomp             ,mod               ,amp               ,delay             ,reverb            ,fhau-hash
   1,FENDER  CLEAN   ,SimpleCompressor  ,                  ,Twin65            ,                  ,Spring65          ,adbd-ead9
   2,SILKY   SOLO    ,Overdrive         ,                  ,SuperSonic        ,TapeDelayLite     ,Spring65          ,2ba9-fe27
   3,CHICAGO BLUES   ,                  ,                  ,Bassman59         ,MonoDelay         ,SmallRoomReverb   ,46e1-8dc2
   4,CLASSIC ROCK    ,                  ,                  ,Plexi87           ,                  ,LargePlate        ,f7d8-b2b2
   5,DREAMY          ,SimpleCompressor  ,Vibratone         ,Twin65            ,TapeDelayLite     ,LargePlate        ,f641-555a
   6,COUNTRY PICKING ,SimpleCompressor  ,                  ,Deluxe65          ,TapeDelayLite     ,                  ,b30b-7cea
   7,SKATE   PUNK    ,                  ,                  ,Rect2             ,                  ,                  ,4f20-5f99
   8,SOLO    MIDBOOST,MustangFiveBandEq1,                  ,Silvertone        ,TapeDelayLite     ,SmallRoomReverb   ,751c-4773
   9,JAZZ       AMP  ,SimpleCompressor  ,                  ,LinearGain        ,                  ,SmallRoomReverb   ,bf47-465f
  10,BRIT 64 RHYTHM  ,                  ,                  ,Ac30Tb            ,                  ,LargePlate        ,5c3f-bb91
  11,METAL   LEAD    ,                  ,ChorusTriangle    ,MetalRect2        ,MonoDelay         ,                  ,9faf-d796
  12,VINTAGE TREMOLO ,                  ,SineTremolo       ,Deluxe65          ,                  ,                  ,7b19-bcd8
  13,SUPER   DRYCLEAN,Sustain           ,                  ,LinearGain        ,                  ,                  ,fc81-4894
  14,THRASH  OVERKILL,ChromeGate        ,                  ,MetalEvh3         ,                  ,                  ,1af2-a906
  15,CLEAN   DELAY   ,SimpleCompressor  ,ChorusTriangle    ,DR103             ,TapeDelayLite     ,SmallRoomReverb   ,9a72-0794
  16,OCTOBOT ONE NOTE,Octobot           ,                  ,Jcm800            ,MonoDelay         ,                  ,0dc9-fa78
  17,LITTLE  CHAMP   ,SimpleCompressor  ,                  ,Champ57           ,TapeDelayLite     ,SmallRoomReverb   ,4335-7c6c
  18,PHASER  SWIRL   ,SimpleCompressor  ,Phaser            ,Twin65            ,                  ,Spring65          ,fd02-280b
  19,60S     FUZZ    ,VariFuzz          ,                  ,Plexi87           ,TapeDelayLite     ,LargePlate        ,0af8-29f1
  20,MYTHIC  CRUNCH  ,MythicDrive       ,                  ,Plexi87           ,                  ,                  ,ee31-59e0
  21,TOUCH   WAH     ,                  ,EcFilter          ,Deluxe57          ,                  ,SmallRoomReverb   ,feb9-71f6
  22,SUPER   ROCK    ,SimpleCompressor  ,                  ,Jcm800            ,MonoDelay         ,                  ,0989-a3ea
  23,NICE    FLANGER ,SimpleCompressor  ,TriangleFlanger   ,Princeton65       ,MonoDelay         ,                  ,e5b6-e5f2
  24,VIBRA   DOOM    ,Greenbox          ,Vibratone         ,Or120             ,                  ,LargeHallReverb   ,6f17-0fec
  25,SURF    MUSIC   ,                  ,                  ,Bassman59         ,MonoDelay         ,Spring65          ,3db6-cb93
  26,BLUES   LEAD    ,Greenbox          ,                  ,Deluxe57          ,                  ,SmallRoomReverb   ,c6e6-bd70
  27,ROCK A  BILLY   ,                  ,                  ,Twin57            ,TapeDelayLite     ,SmallRoomReverb   ,24b9-83ee
  28,GARAGE  FUZZ    ,BigFuzz           ,                  ,Excelsior         ,                  ,LargePlate        ,c7ae-4e6a
  29,SPACE   TRAVEL  ,Octobot           ,StepFilter        ,Deluxe65          ,MonoDelay         ,ArenaReverb       ,6f2b-6734
  30,ACOUSTICSIM     ,MustangFiveBandEq1,                  ,LinearGain        ,                  ,LargeHallReverb   ,509c-6ccb
  31,EMPTY           ,                  ,                  ,LinearGain        ,                  ,                  ,b4ed-d311
  41,EVENING RAGE    ,SimpleCompressor  ,TriangleFlanger   ,Twin65            ,MonoDelay         ,LargeHallReverb   ,d481-3637
  42,BLUES   LEAD    ,Greenbox          ,                  ,Deluxe57          ,                  ,SmallRoomReverb   ,c6e6-e19f
  43,SUPER   DRYCLEAN,Sustain           ,                  ,LinearGain        ,                  ,                  ,fc81-82fe
  44,CHICAGO BLUES   ,                  ,                  ,Bassman59         ,MonoDelay         ,SmallRoomReverb   ,46e1-943b
  45,60S     FUZZ    ,VariFuzz          ,                  ,Plexi87           ,TapeDelayLite     ,LargePlate        ,0af8-6843
  47,PHASER  SWIRL   ,SimpleCompressor  ,Phaser            ,Twin65            ,                  ,Spring65          ,fd02-ef30
